amount,currency,transaction_type,merchant_category,merchant_id,merchant_risk_score,user_id,account_age_days,kyc_level,avg_txn_amount_7d,avg_txn_amount_30d,device_type,is_new_device,ip_address,ip_risk_score,geo_location,hour,day_of_week,txn_velocity_1h,txn_velocity_24h,failed_txn_count_24h,account_balance,post_txn_balance,balance_change_ratio,amount_to_balance_ratio,is_night_txn,high_velocity_flag,unusual_location_flag,Class
12798.99,INR,UPI,gaming,M617,0.05,U2501,293,3,3179,3010,desktop,0,3.207.44.120,0.17,Delhi,8,1,3,17,1,49928,37129.01,0.256,0.256,0,0,0,1
42316.18,INR,card,gaming,M399,0.91,U3586,891,3,2842,2586,tablet,1,155.85.255.37,0.74,Hyderabad,0,4,12,29,5,44923,2606.82,0.942,0.942,1,1,1,1
41675.7,INR,UPI,gaming,M356,0.72,U3653,699,1,4491,4307,desktop,1,5.81.84.38,0.87,Chennai,3,5,8,18,4,43597,1921.3,0.956,0.956,1,1,1,1
10226.64,INR,UPI,luxury,M208,0.03,U2055,33,3,3273,3244,desktop,0,72.33.255.179,0.24,Delhi,9,5,4,9,0,48032,37805.36,0.213,0.213,0,0,0,0
3991.46,INR,UPI,electronics,M206,0.21,U1705,423,1,1548,1253,mobile,0,133.108.57.62,0.12,Kolkata,14,2,1,12,1,47815,43823.54,0.083,0.083,0,0,0,0
1290.37,INR,netbanking,retail,M109,0.11,U1106,189,1,2863,3067,desktop,0,127.224.24.211,0.14,Bangalore,20,4,5,16,2,34011,32720.63,0.038,0.038,0,0,0,1
1849.04,INR,ATM,gaming,M381,0.29,U1589,342,2,3806,3867,tablet,0,241.186.200.33,0.36,Chennai,14,0,4,15,2,44794,42944.96,0.041,0.041,0,0,0,0
4553.96,INR,UPI,luxury,M626,0.13,U3468,857,2,4454,4245,mobile,0,70.220.65.107,0.06,Chennai,13,4,4,12,2,46365,41811.04,0.098,0.098,0,0,0,0
7992.92,INR,netbanking,electronics,M749,0.26,U3413,107,2,606,858,tablet,0,95.96.199.43,0.04,Bangalore,12,4,3,4,2,46557,38564.08,0.172,0.172,0,0,0,0
8128.64,INR,netbanking,crypto,M741,0.04,U2600,54,1,2541,2328,desktop,0,48.124.49.32,0.35,Delhi,11,5,5,13,0,40752,32623.36,0.199,0.199,0,0,0,0
5338.02,INR,UPI,electronics,M707,0.28,U3464,740,3,1824,1753,tablet,0,103.156.120.164,0.11,Mumbai,21,0,4,9,2,43780,38441.98,0.122,0.122,0,0,0,0
3671.72,INR,card,crypto,M133,0.09,U1228,613,3,2657,2548,mobile,0,125.162.100.0,0.18,Mumbai,12,4,4,6,2,12547,8875.28,0.293,0.293,0,0,0,0
5098.2,INR,ATM,investment,M657,0.39,U1915,900,1,4685,4483,desktop,0,160.19.36.44,0.19,Delhi,11,4,5,18,0,28951,23852.8,0.176,0.176,0,0,0,0
4629.83,INR,UPI,gaming,M829,0.36,U1794,996,2,927,850,mobile,0,130.151.221.150,0.25,Kolkata,8,1,1,4,2,28850,24220.17,0.16,0.16,0,0,0,0
23116.89,INR,ATM,travel,M939,0.81,U4021,899,1,2471,2239,mobile,1,207.179.183.137,0.7,Kolkata,4,4,14,24,3,23938,821.11,0.966,0.966,1,1,1,1
14785.62,INR,card,investment,M402,0.65,U4543,93,3,4748,4882,tablet,1,79.204.196.217,0.89,Delhi,0,1,13,28,3,15734,948.38,0.94,0.94,1,1,1,1
4260.0,INR,ATM,crypto,M343,0.32,U2073,33,3,4767,4824,tablet,0,207.55.24.19,0.04,Mumbai,11,5,2,19,0,32672,28412.0,0.13,0.13,0,0,0,0
35883.73,INR,ATM,electronics,M142,0.83,U4351,597,1,817,913,tablet,1,196.204.39.38,0.91,Hyderabad,4,2,9,21,7,38799,2915.27,0.925,0.925,1,1,1,1
2458.3,INR,netbanking,investment,M304,0.05,U2744,585,2,932,1114,desktop,0,163.190.20.240,0.02,Delhi,10,3,1,13,2,48052,45593.7,0.051,0.051,0,0,0,0
786.91,INR,ATM,travel,M766,0.25,U2084,277,3,3748,3578,desktop,0,136.62.36.224,0.08,Bangalore,13,5,1,10,0,9486,8699.09,0.083,0.083,0,0,0,0
440.77,INR,UPI,food,M552,0.0,U1926,920,2,3956,4048,desktop,0,174.58.183.37,0.24,Bangalore,15,2,2,8,0,47847,47406.23,0.009,0.009,0,0,0,0
34799.58,INR,card,gaming,M712,0.72,U4049,942,1,3138,3146,tablet,1,52.6.169.104,0.83,Delhi,3,5,12,21,2,41596,6796.42,0.837,0.837,1,1,1,1
5540.04,INR,netbanking,crypto,M266,0.37,U2117,124,3,4631,4467,mobile,0,226.236.14.238,0.02,Bangalore,15,0,4,21,2,26234,20693.96,0.211,0.211,0,0,0,0
1984.77,INR,netbanking,crypto,M159,0.27,U1642,483,3,4619,4733,mobile,0,109.119.135.138,0.29,Kolkata,21,4,4,22,0,36079,34094.23,0.055,0.055,0,0,0,0
26114.26,INR,netbanking,travel,M692,0.82,U5767,700,3,3887,3717,desktop,1,132.181.250.185,0.83,Chennai,3,5,13,17,3,27800,1685.74,0.939,0.939,1,1,1,1
1795.35,INR,UPI,crypto,M825,0.19,U1501,590,1,3101,2877,desktop,0,253.171.130.227,0.07,Mumbai,21,1,5,20,0,25017,23221.65,0.072,0.072,0,0,0,0
21837.9,INR,ATM,crypto,M456,0.96,U5066,477,3,4345,4269,tablet,1,89.112.177.114,0.99,Bangalore,0,1,14,32,3,23116,1278.1,0.945,0.945,1,1,1,1
3472.24,INR,netbanking,luxury,M799,0.3,U1333,132,3,2280,2463,tablet,0,20.184.98.102,0.1,Pune,13,1,5,20,0,16795,13322.76,0.207,0.207,0,0,0,0
15381.3,INR,ATM,gaming,M525,0.78,U5684,537,2,3763,3891,tablet,1,215.119.211.162,0.93,Chennai,0,1,8,10,2,16268,886.7,0.945,0.945,1,1,1,1
524.66,INR,UPI,food,M647,0.11,U1486,728,3,4864,4737,desktop,0,176.56.130.102,0.06,Chennai,14,3,2,16,2,13014,12489.34,0.04,0.04,0,0,0,0
2262.46,INR,card,gaming,M164,0.24,U2962,480,1,3532,3526,tablet,0,43.25.199.249,0.24,Pune,12,5,4,17,1,28378,26115.54,0.08,0.08,0,0,0,1
905.95,INR,ATM,electronics,M747,0.25,U1393,635,1,2713,2734,desktop,0,83.97.59.124,0.39,Pune,10,0,4,22,1,18120,17214.05,0.05,0.05,0,0,0,0
22476.71,INR,netbanking,gaming,M216,0.66,U5842,356,3,1893,1662,desktop,1,52.36.129.200,0.98,Bangalore,3,0,14,15,6,27980,5503.29,0.803,0.803,1,1,1,1
30506.7,INR,UPI,gaming,M565,0.72,U5866,402,2,2388,2235,mobile,1,11.137.238.147,0.81,Delhi,4,3,11,17,3,34874,4367.3,0.875,0.875,1,1,1,1
