amount,device_type,merchant_category,hour,txn_velocity_1h,Class
1878.9551930483387,tablet,gaming,22,4,0
4754.064388985482,mobile,retail,0,5,0
3662.6497696389115,mobile,food,16,3,0
2997.3058361432127,tablet,food,3,7,0
788.5330158077583,desktop,retail,20,5,0
2788.412656477651,tablet,gaming,4,10,1
299.8372247193153,tablet,gaming,19,6,0
4332.218967416927,desktop,food,23,7,0
3009.5639085986118,tablet,food,22,8,0
3543.282163202267,tablet,gaming,6,9,0
2112.7166265360543,tablet,gaming,9,9,1
6849.850162288351,desktop,travel,16,10,1
4163.888777594105,mobile,food,6,5,0
1069.572162284598,mobile,food,0,8,0
917.3065863634321,desktop,retail,6,9,0
925.1885041686347,mobile,travel,23,7,0
1528.1687923680931,tablet,gaming,10,5,0
2628.534593844867,mobile,travel,8,3,0
2165.4056430241576,tablet,gaming,11,1,0
1463.233409588229,mobile,gaming,2,9,0
5063.145944664673,desktop,travel,3,10,1
706.0743646536888,mobile,food,3,9,0
1467.8017961907385,mobile,gaming,12,4,0
1838.1455980355215,mobile,travel,22,5,0
2285.7892212430093,desktop,retail,18,4,0
3928.028047351138,mobile,travel,9,2,0
1006.372172970215,desktop,retail,4,1,0
2576.029847683922,tablet,gaming,6,8,0
2966.148698621592,mobile,travel,23,4,0
241.78755947278864,desktop,travel,15,5,0
3041.6488109881775,desktop,retail,0,6,0
860.9153771995848,mobile,travel,11,8,0
334.6074489965448,tablet,travel,1,8,0
4744.9388308941325,desktop,gaming,6,7,0
4828.5038450420580.5 MB2,mobile,travel,10,4,0
4043.902767101141,tablet,food,12,6,0
1530.0227081751198,desktop,retail,1,4,0
497.3838488918555,desktop,travel,6,7,0
3424.3228022956628,tablet,retail,14,1,0
2206.3609437606106,tablet,retail,10,5,0
618.9707918754464,mobile,retail,1,4,0
2480.932781455238,mobile,travel,6,7,0
181.5987203649398,desktop,travel,3,9,0
4547.508806373123,tablet,retail,10,5,0
1301.3121081840843,tablet,food,1,4,0
3315.98619892637,tablet,retail,15,9,0
1565.4382696861608,desktop,food,6,5,0
2605.139425677276,tablet,retail,12,9,0
4738.084293922966,tablet,gaming,4,13,1
932.42373307238,desktop,retail,16,4,0
4848.227292545147,mobile,retail,20,7,0
3877.9127885719618,mobile,travel,11,5,0
6698.099718405304,desktop,food,18,9,1
6475.188478633968,tablet,gaming,6,10,1
2993.520894267315,desktop,food,5,5,0
4610.152432765353,mobile,gaming,7,9,0
2451.5775852390784,mobile,retail,12,14,1
987.9544834715346,desktop,travel,4,6,0
235.68417166358495,desktop,travel,1,4,0
1633.398350508689,mobile,food,8,2,0
1949.4996755505151,desktop,travel,10,3,0
1364.0316685517405,mobile,food,23,2,0
4145.400170668127,desktop,food,5,5,0
1790.1991002010104,desktop,gaming,6,6,0
1411.86320334003,desktop,food,6,5,0
2718.05345495966,mobile,gaming,18,2,0
713.2118826240657,desktop,travel,5,5,0
4012.962933962658,mobile,food,10,9,0
382.0077119620564,mobile,food,10,4,0
4934.565813636581,desktop,retail,6,2,0
3863.5013987903203,desktop,food,1,3,0
1001.5912508555203,mobile,food,18,3,0
37.55536444677597,mobile,retail,3,9,0
4079.1525279896223,tablet,retail,5,4,0
3537.2181457996094,mobile,travel,16,1,0
3647.7457685245267,tablet,food,4,1,0
3858.6390299628692,tablet,travel,6,7,0
379.4828121531109,tablet,travel,8,7,0
1798.7439854359204,desktop,retail,0,2,0
588.1866070303972,desktop,gaming,0,9,0
4316.886095119212,mobile,travel,18,9,0
3120.257652869514,tablet,gaming,5,5,0
1661.1811440147194,desktop,food,17,3,0
327.1561679272579,desktop,retail,9,3,0
1561.8017853611543,desktop,food,10,3,0
1632.6647769134677,desktop,food,0,6,0
3650.73482990694,desktop,retail,0,4,0
3191.4117820625133,tablet,food,12,8,0
4437.191585455869,tablet,retail,4,5,0
2366.352476558127,tablet,gaming,19,1,0
606.7752872321255,tablet,food,0,9,0
3569.091488242745,mobile,retail,19,1,0
5806.317392598318,tablet,travel,2,11,1
2810.7732158717863,desktop,food,17,1,0
3857.126227973259,tablet,gaming,8,3,0
2474.04002585831,mobile,retail,13,5,0
2618.4368186161505,desktop,food,16,7,0
2143.429681609163,tablet,food,22,8,0
136.84144245303497,tablet,food,13,9,0
548.3782206965892,tablet,gaming,3,6,0
166.8316365768039,desktop,retail,4,9,0
3185.687952206264,desktop,travel,20,8,0
1578.6363455708702,mobile,travel,16,9,0
2547.767748911867,desktop,travel,21,4,0
4538.756704891204,desktop,retail,1,9,0
1253.968223452886,tablet,travel,22,7,0
2057.8107859477923,desktop,gaming,21,5,0
3780.200181329813,tablet,retail,4,5,0
3151.7028458031964,tablet,food,3,6,1
2394.129750045677,desktop,gaming,3,7,1
1455.8597500397025,mobile,food,5,3,0
814.4942233974821,mobile,travel,19,8,0
4649.191285189439,desktop,gaming,20,6,0
4042.5206940264407,mobile,retail,12,5,0
3170.684744987013,tablet,gaming,21,1,0
4358.588345036711,tablet,food,4,9,0
4020.3236637265813,desktop,retail,22,3,0
940.9845938413189,mobile,gaming,22,3,0
4463.869402464989,mobile,gaming,6,2,0
2701.317787159097,tablet,gaming,19,4,0
4039.126374268672,desktop,gaming,0,2,0
4481.495586618231,mobile,retail,13,9,0
1596.8373401096007,desktop,food,23,7,0
559.159103393107,mobile,gaming,3,8,0
1147.396461084289,tablet,retail,16,3,0
2141.267865245019,tablet,food,20,6,0
4091.8936819532405,desktop,gaming,13,6,0
4305.045610449154,tablet,food,15,1,0
44.69113135064161,mobile,food,13,6,0
2558.629039862053,tablet,retail,15,3,0
2092.880905712407,desktop,food,23,3,0
1118.317974248944,desktop,retail,19,3,0
608.1281829950772,desktop,gaming,7,8,0
1694.6997053041034,mobile,food,23,5,0
6715.11942252347,mobile,food,2,9,1
1622.7826307835685,mobile,travel,18,9,0
2598.7652024993968,mobile,gaming,0,9,0
3518.0646048869376,mobile,gaming,1,1,0
1824.5117158726769,tablet,travel,14,2,0
4859.192592777594,mobile,travel,21,8,0
4812.612001761135,mobile,retail,9,5,0
3266.393656168567,tablet,retail,17,12,1
2491.2700444030033,mobile,food,21,1,0
1511.3827659856806,desktop,food,13,5,0
1431.3540669435633,mobile,food,16,3,0
